,x,y
258,20.937231,0.039569344
259,20.542727,-0.72056365
260,20.880945,-0.24100778
261,20.448233,-1.1045691
262,21.3111,-1.2969887
263,21.285934,-1.2323874
264,20.286135,-1.058471
265,21.170963,-1.046607
266,21.673141,-1.5669806
267,21.42111,-1.514951
268,20.38843,-0.8757578
269,20.32983,-1.1175132
270,21.234556,-0.870729
271,21.25954,-1.4611914
272,20.979244,-1.3811135
273,21.391562,-1.4473699
274,20.484894,-1.2306491
275,20.819954,-0.26137474
276,20.430864,-1.161439
277,21.195148,-1.4547454
278,4.779066,-3.5043674
279,20.375805,-0.97550064
280,20.978613,-0.13781519
281,21.14894,-1.1508512
282,21.00561,-1.0597732
283,21.37256,-1.5292535
284,20.881266,-0.041341845
285,20.519003,-1.225999
286,21.222113,-1.247467
287,21.71339,-1.5511957
288,20.42413,-0.9071045
289,20.730904,-0.092257604
290,20.62081,-1.3190165
291,21.407442,-1.5126158
292,21.101133,-1.3781991
293,21.104244,-0.4669001
294,21.18943,-1.3672516
295,21.288513,-0.965989
296,20.684614,-1.304092
297,20.322271,-1.1060773
298,21.705029,-1.5081357
299,20.445524,-1.0160276
300,20.851786,-1.0491596
301,20.405212,-1.0615085
302,20.297646,-1.0383741
303,21.209337,-1.1918705
304,20.400457,-0.99609786
305,20.47299,-0.8715029
306,21.34691,-1.4281547
307,20.916748,0.01296508
308,20.879755,-0.23217243
309,20.377892,-1.115391
310,20.94031,-0.03884689
311,20.406548,-0.9061832
312,21.236444,-1.2365508
313,20.866314,-1.3459878
314,21.302952,-1.3120528
315,20.570189,-1.0781181
316,21.522285,-1.2234348
317,20.603588,-0.73744434
318,21.118944,-0.46948862
319,21.643217,-1.4310529
320,20.915648,-0.3725452
321,21.43388,-1.3137914
322,20.38991,-1.0078801
323,20.950827,-1.055161
324,20.851244,-0.024494568
325,21.215883,-1.4222378
326,20.74429,-1.070929
327,20.922558,-0.04276378
328,20.49192,-1.2997705
329,21.014137,-1.4261932
330,20.55753,-1.0712626
331,21.707054,-1.5328298
332,20.840069,-0.059561506
333,20.740524,-0.16239808
334,20.821232,-0.22698732
335,20.887135,0.0058185444
336,20.85357,-0.24749331
337,21.188536,-1.2307861
338,4.755542,-3.5943604
339,21.345863,-1.1716629
340,20.321966,-1.081252
341,21.287535,-1.3156866
342,20.978867,-0.08886654
343,20.834478,-1.3716546
344,20.737637,-1.1312048
345,20.350954,-0.9171308
346,20.629158,-1.1747324
347,20.926788,-0.03438325
348,20.52971,-1.3286682
349,20.563814,-1.3042986
350,20.599344,-1.1566715
351,20.570148,-0.7489056
352,21.682997,-1.5117365
353,20.883566,0.0156302
354,20.901556,-0.078052156
355,21.522257,-1.2558888
356,20.626223,-1.1032596
357,21.64732,-1.476588
358,20.889256,-0.27278897
359,20.91411,-0.2049428
360,20.903599,-0.53606015
361,21.382906,-1.2648875
362,20.444304,-0.9034147
363,21.704477,-1.5026762
364,20.497524,-1.2291387
365,20.974676,-1.3899431
366,20.820051,-0.32818756
367,20.659525,-1.1927749
368,21.215578,-1.1836874
369,20.397972,-1.0120679
370,20.870382,-0.004633266
371,20.356636,-1.0661122
372,21.511642,-1.2694875
373,21.408129,-1.5031593
374,20.36722,-0.9526878
375,20.875217,-0.24045992
376,20.30886,-1.089522
377,21.209686,-1.2271954
378,21.2765,-1.5287026
379,20.39432,-1.1703787
380,20.94635,-0.040196367
381,21.756397,-1.5384593
382,20.401659,-1.0347531
383,20.46182,-1.1023836
384,21.472034,-1.4671862
385,4.2870994,-4.231592
386,4.753391,-4.234645
387,4.462716,-4.107948
388,4.234562,-4.1749973
389,4.23613,-4.1721525
390,4.707796,-3.7470846
391,4.412207,-4.1569066
392,4.48041,-4.2215376
393,4.586779,-4.168959
394,4.662755,-4.192881
395,4.81407,-4.259537
396,4.5657897,-4.1745644
397,4.815278,-4.338983
398,4.570054,-3.7566614
399,4.8031096,-4.247745
